3, 1276, -7, -7, 7
3, 1281, 0, 0, 15
3, 1285, -7, 0, 7
3, 1297, -7, 0, 7
3, 1302, -7, 0, 15
3, 1307, 0, -7, 15
3, 1322, -7, -7, 15
3, 1327, -7, 0, 7
3, 1332, -7, 0, 15
3, 1349, -7, -7, 15
3, 1354, -7, 0, 7
3, 1359, -7, -7, 7
3, 1375, -7, 0, 7
3, 1380, -7, -7, 7
3, 1385, -7, -7, 7
3, 1404, -7, 0, 7
3, 1409, -7, -7, 15
3, 1416, -7, 0, 7
3, 1426, -7, 0, 15
3, 1431, -7, -7, 7
3, 1436, -7, -7, 7
3, 1441, -7, 0, 7
3, 1452, -7, 0, 15
3, 1457, -7, -7, 15
3, 1462, -7, -7, 7
3, 1468, -7, 0, 7
3, 1478, -7, 0, 15
3, 1484, -7, 0, 15
3, 1489, -7, 0, 7
3, 1504, -7, -7, 15
3, 1509, -7, -7, 15
3, 1514, -7, 0, 15
3, 1531, -7, 0, 7
3, 1537, -7, -7, 15
3, 1542, -7, 0, 7
3, 1558, -7, 0, 7
3, 1563, -7, 0, 15
3, 1568, -7, -7, 15
3, 1583, -7, 0, 15
3, 1588, -7, 0, 7
3, 1594, -7, -7, 15
3, 1605, -7, 0, 15
3, 1609, -7, 0, 15
3, 1615, 0, -7, 7
3, 1620, -7, 0, 7
3, 1636, -7, -7, 7
3, 1641, -7, -7, 7
3, 1646, -7, -7, 15
3, 1660, -7, -7, 15
3, 1665, -7, 0, 7
3, 1670, -7, 0, 15
3, 1686, -7, 0, 15
3, 1691, -7, 0, 7
3, 1696, -7, -7, 15
3, 1701, -7, 0, 7
3, 1711, -7, 0, 15
3, 1716, -7, 0, 7
3, 1722, -7, 0, 7
3, 1737, -7, 0, 15
3, 1743, -7, -7, 7
3, 1748, -7, 0, 7
3, 1764, -7, -7, 7
3, 1769, -7, -7, 15
3, 1774, -7, 0, 7
3, 1784, -7, 0, 7
3, 1791, -7, -7, 15
3, 1796, -7, 0, 15
3, 1801, -7, 0, 7
3, 1818, -7, -7, 7
3, 1821, -7, 0, 15
3, 1828, -7, -7, 15
3, 1838, -7, -7, 7
3, 1843, -7, 0, 7
3, 1848, -7, 0, 15
3, 1853, -7, 0, 15
3, 1864, -7, -7, 7
3, 1869, -7, -7, 15
3, 1874, -7, -7, 15
3, 1879, -7, 0, 15
3, 1889, -7, -7, 15
3, 1896, -7, -7, 7
3, 1901, -7, 0, 7
3, 1920, -7, -7, 15
3, 1925, -7, 0, 7
3, 1932, -7, -7, 15
3, 1947, -7, -7, 7
3, 1952, -7, -7, 7
3, 1957, -7, 0, 15
